modelo,accuracy,precision,recall,f1,auc,f1_media_folds,f1_desv_folds
Mayoritaria,0.6429,0.3214,0.5,0.3913,0.5,0.39,0.0122
Regresión logística,0.75,0.7281,0.7167,0.7212,0.85,0.7206,0.1181
